,portfolio
2016-07-31,0.0884356103474119
2016-08-31,0.023917550163991563
2016-09-30,0.016896608982216236
2016-10-31,-0.03379911639424984
2016-11-30,-0.01968169880052072
2016-12-31,0.06558899830602856
2017-01-31,0.05975455391139398
2017-02-28,0.008760587684270528
2017-03-31,0.010987653127803938
2017-04-30,0.11478220161265455
2017-05-31,0.0495618200159189
2017-06-30,0.004939585473033717
2017-07-31,0.05175544665569428
2017-08-31,0.016816123880248075
2017-09-30,0.04924163217742342
2017-10-31,-0.00490613066387854
2017-11-30,-0.0006162152228919139
2017-12-31,0.03799053291967484
2018-01-31,0.05201176114960723
2018-02-28,-0.03898063532565663
2018-03-31,0.01569007384635832
2018-04-30,0.05774706882134412
2018-05-31,0.09270236204085698
2018-06-30,-0.007126028460817754
2018-07-31,-0.0007479099085251437
2018-08-31,-0.005407862331600473
2018-09-30,-0.004569246095827132
2018-10-31,-0.06975178246618532
2018-11-30,-0.002869243312488155
2018-12-31,-0.05066533834867325
2019-01-31,0.054619109831299306
2019-02-28,0.043886082167823644
2019-03-31,-0.019253465710202814
2019-04-30,0.05975178008887712
2019-05-31,-0.032285106196152526
2019-06-30,0.038055579233543725
2019-07-31,-0.057430872610761505
2019-08-31,-0.018532430125636212
2019-09-30,0.018272397112943123
2019-10-31,0.03591032874117996
2019-11-30,0.04511069246198197
2019-12-31,0.0674510305843514
